PING lon.speedtest.clouvider.net (5.180.211.133) 56(84) bytes of data.
64 bytes from 5.180.211.133: icmp_seq=256 ttl=50 time=142 ms
64 bytes from 5.180.211.133: icmp_seq=257 ttl=50 time=86.5 ms
64 bytes from 5.180.211.133: icmp_seq=258 ttl=50 time=137 ms
64 bytes from 5.180.211.133: icmp_seq=259 ttl=50 time=125 ms
64 bytes from 5.180.211.133: icmp_seq=260 ttl=50 time=175 ms
64 bytes from 5.180.211.133: icmp_seq=261 ttl=50 time=189 ms
64 bytes from 5.180.211.133: icmp_seq=262 ttl=50 time=109 ms
64 bytes from 5.180.211.133: icmp_seq=263 ttl=50 time=168 ms
64 bytes from 5.180.211.133: icmp_seq=264 ttl=50 time=175 ms
64 bytes from 5.180.211.133: icmp_seq=265 ttl=50 time=89.1 ms
64 bytes from 5.180.211.133: icmp_seq=266 ttl=50 time=84.1 ms
64 bytes from 5.180.211.133: icmp_seq=267 ttl=50 time=91.3 ms
64 bytes from 5.180.211.133: icmp_seq=268 ttl=50 time=128 ms
64 bytes from 5.180.211.133: icmp_seq=269 ttl=50 time=123 ms
64 bytes from 5.180.211.133: icmp_seq=270 ttl=50 time=83.6 ms
64 bytes from 5.180.211.133: icmp_seq=271 ttl=50 time=123 ms
64 bytes from 5.180.211.133: icmp_seq=272 ttl=50 time=111 ms
64 bytes from 5.180.211.133: icmp_seq=273 ttl=50 time=161 ms
64 bytes from 5.180.211.133: icmp_seq=274 ttl=50 time=156 ms
64 bytes from 5.180.211.133: icmp_seq=275 ttl=50 time=79.6 ms
64 bytes from 5.180.211.133: icmp_seq=276 ttl=50 time=153 ms
64 bytes from 5.180.211.133: icmp_seq=277 ttl=50 time=149 ms
64 bytes from 5.180.211.133: icmp_seq=278 ttl=50 time=194 ms
64 bytes from 5.180.211.133: icmp_seq=279 ttl=50 time=90.2 ms
64 bytes from 5.180.211.133: icmp_seq=280 ttl=50 time=87.5 ms
64 bytes from 5.180.211.133: icmp_seq=281 ttl=50 time=119 ms
64 bytes from 5.180.211.133: icmp_seq=282 ttl=50 time=115 ms
64 bytes from 5.180.211.133: icmp_seq=283 ttl=50 time=87.5 ms
64 bytes from 5.180.211.133: icmp_seq=284 ttl=50 time=113 ms
64 bytes from 5.180.211.133: icmp_seq=285 ttl=50 time=101 ms
